,id,name,menus_appeared,times_appeared,first_appeared,last_appeared,lowest_price,highest_price
0,276837,BLUEFORT-CHEESE-AND-CRACKERS,1,1,1954,1954,0.0,0.0
1,236129,"__egg,_tetrazini__",1,1,1977,1977,3.75,3.75
2,184225,consomme_belle_fermiere,2,2,1938,1938,0.15,0.15
3,312235,"CREAM_OF_FOWL,_SOUFFLE",3,3,1943,1946,0.3,0.3
4,492738,"__broiled_sweetbreads,_green_peas__",1,1,1913,1913,0.3,0.3
5,232786,--CONSOMME-BELLE-FERMIERE--,7,7,1953,1965,0.0,0.0
6,387942,timbales_de_riz_a_la_milanaise,1,1,1918,1918,,
7,18775,--pouding-a-l'imperatrix--,1,1,1900,1900,,
8,109996,gran-fritto-di-misto-mare,1,1,1907,1907,0.0,0.0
9,497982,__SAINT-MARCEAUX_VERY_DRY__,1,1,1913,1913,0.0,0.0
10,170818,"--1964er-chateau-la-tour-gayet,-cotes-de-blaye-ac--",1,1,0,0,0.0,0.0
11,144665,"--CALIFORNIA-FRESH-FRUIT-SALAD,-WITH-COTTAGE-CHEESE,-SOUR-CREAM--",1,1,0,0,0.0,0.0
12,172711,"__broiled_sweetbreads,_green_peas__",1,1,1987,1987,0.0,0.0
13,480179,--BLUEFORT-CHEESE-AND-CRACKERS--,1,1,0,0,0.0,0.0
14,355492,__romaine_and_pineapple_salad__,23,25,1912,1933,0.4,0.4
15,138730,__bluefort_cheese_and_crackers__,1,1,0,0,0.85,0.85
16,499315,__broiled_or_fried_green_bluefish__,1,1,1913,1913,0.25,0.25
17,311757,"--unjointed-fried-half-spring-chicken-on-toast,-country-gravy--",1,1,1946,1946,0.0,0.0
18,344502,__macedoine_de_fruits_au_marasquin__,1,1,1935,1935,0.0,0.0
19,486757,"__ROAST_HOT_HOUSE_BABY_LAMB,_MINT_SAUCE__",1,1,1913,1913,2.0,2.0
20,479488,"_SOUTHER_COLADA_-_SOUTHERN_COMFORT,_ANANASSAFT,_KOKOSNUSSCREME",1,1,0,0,0.0,0.0
21,484955,fresh_home=made_rhubarb_pie,7,8,1913,1913,0.05,0.05
22,494938,œufs?_carlton,1,1,1961,1961,,
23,104232,SCHWESERPASTETEN,1,1,1891,1891,0.0,0.0
24,137931,GRAN_FRITTO_DI_MISTO_MARE,1,1,1980,1980,0.0,0.0
25,307106,__key_west_turtle_soup__,3,3,1944,1948,0.0,0.0
26,296409,__MALTESER_REIS-CREME__,1,1,1955,1955,0.0,0.0
27,195402,__MALTESER_REIS-CREME__,2,2,1910,1910,0.0,0.0
28,293494,"__boiled_fresh_brisket_of_beef,_horseradish_sauce,_bouillon_potatoes__",2,2,1953,1953,0.0,0.0
29,133584,--consomme-belle-fermiere--,1,1,1969,1969,0.0,0.0
30,78287,roast_leg_of_mutton_currant_jelly,3,3,1900,1917,0.35,0.35
31,139437,__frecciarossa__,5,5,1939,1958,0.0,5.0
32,293589,"__coffee,_per_pot_or_cup__",1,1,1953,1953,0.0,0.0
33,342575,"--THEE,-KAFFEE,-HAFERCACAO--",1,1,1901,1901,0.0,0.0
34,219673,--CREME-D'ASPERGES-NOUVELLES-AUX-FLEURONS--,1,1,1979,1979,6.5,6.5
35,151584,--bourbon-whisky-four-roses-4-cl--,1,1,1966,1966,0.0,0.0
36,452933,squab-casserole,1,1,0,0,0.0,0.0
37,399522,"strawberry,_peach_or_raspberry_jam",1,1,1917,1917,0.2,0.2
38,66536,"roast_hot_house_baby_lamb,_mint_sauce",1,1,1885,1885,0.0,0.0
39,111324,--consomme-belle-fermiere--,1,1,1907,1907,0.0,0.0
40,454936,__chateau_latour_blanche_b_&_g_sauternes__,1,1,0,0,0.0,0.0
41,489930,"boiled-fresh-brisket-of-beef,-horseradish-sauce,-bouillon-potatoes",1,1,1913,1913,5.0,25.0
42,71818,"sweetbread-cutlets,-parisian-fashion",1,1,1891,1891,0.0,0.0
43,281411,"__2_eggs,_any_style,_served_with_hashbrowns_&_hot_buttered_toast__",1,1,1988,1988,2.5,2.5
44,24641,"--""-souther-colada""---southern-comfort,-ananassaft,-kokosnusscreme--",2,2,1900,1901,0.1,0.15
45,126273,__creme_d'asperges_nouvelles_aux_fleurons__,1,1,1906,1906,0.0,0.0
46,422736,"__BROILED_SWEETBREADS,_GREEN_PEAS__",1,1,1915,1915,0.6,0.6
47,413843,"__FR_OCHSENBRUST_""FLAMISCH""_MIT_BOUILLONKARTOFFELN_UND_SAHNEMEERRETTICH__",1,1,1973,1973,0.0,0.0
48,297102,"__fresh_fruit_salad,_country_cottage_cheese,_sour_cream_salad_dressing__",1,1,1955,1955,1.95,1.95
49,20365,roast_leg_of_mutton_currant_jelly,1,1,1900,1900,0.0,0.0
