,id,name,menus_appeared,times_appeared,first_appeared,last_appeared,lowest_price,highest_price
0,142807,--ESCALOPINE-OF-VEAL-AU-MARSALA--,2,2,1955-01-01T00:00:00Z,1961-01-01T00:00:00Z,0.0,0.0
1,282334,"--BEEF-PEPPER-STEAK-SERVED-WITH-VEGETABLE,-SALAD,-ROLL,-AND-CHOICE-OF-POTATO-OR-RICE--",1,1,1988-01-01T00:00:00Z,,3.75,3.75
2,53274,--EISCHAUM-NOCKEN--,2,2,1901-01-01T00:00:00Z,,0.0,0.0
3,223420,__CORNED_BEEFON_RUSSIAN_RYE_BREAD__,1,1,1965-01-01T00:00:00Z,1965-01-01T00:00:00Z,1.5,1.5
4,361694,"__STEAMED_CLAMS,_DRAWN_BUTTER,_PICKLED_CABBAGE,_SALTINES,_CLAM_BROTH__",1,1,1941-01-01T00:00:00Z,,0.0,0.0
5,83430,--FINNAN-HADDIE-OR-STRIPED-BASS--,1,1,,1905-01-01T00:00:00Z,0.5,0.5
6,316424,"__OYSTERS_HALF_SHELL,_CAPE_CODS__",1,1,,,1.75,1.75
7,243827,"__BROILED_SWORDFISH_STEAK_FLORIDA,_FRENCH_FRIED_POTATOES__",1,1,1985-01-01T00:00:00Z,1985-01-01T00:00:00Z,2.75,2.75
8,387942,BOURBON_WHISKY_FOUR_ROSES_4_CL,1,1,1918-01-01T00:00:00Z,1918-01-01T00:00:00Z,,
9,293494,"BOILED_FRESH_BRISKET_OF_BEEF,_HORSERADISH_SAUCE,_BOUILLON_POTATOES",2,2,,,0.0,0.0
10,197869,"__SALAD,_BRAZILIENNE__",1,1,1907-01-01T00:00:00Z,,0.5,0.5
11,112781,__RINDERZUNGE_ROASTBEEF__,1,1,1899-01-01T00:00:00Z,1899-01-01T00:00:00Z,0.0,0.0
12,377462,__SAINT-MARCEAUX_VERY_DRY__,1,1,,,0.4,0.4
13,351394,CANNETON_GRILLE,4,4,1933-01-01T00:00:00Z,1933-01-01T00:00:00Z,0.0,0.0
14,147942,BAKED-STUFFED_MT_TROUT_FROM_THE_COLD_GLACIER_WATERS_OF_COLORADO,1,1,1969-01-01T00:00:00Z,1969-01-01T00:00:00Z,3.75,3.75
15,306282,__BEAN_SPROUT_FOO_YOUNG_DAN__,1,1,,,0.5,0.5
16,311431,"--FRESH-SELECT-FISH,-DU-JOUR--",4,4,1943-01-01T00:00:00Z,1946-01-01T00:00:00Z,0.0,0.0
17,235066,__BORSCHT_KOOP__,1,1,1969-01-01T00:00:00Z,,1.3,1.3
18,68720,__APPLE_OR_PEACH_PIE__,9,9,1900-01-01T00:00:00Z,,0.05,0.15
19,452984,__CHARLOTTE_KLONDYKE__,1,2,,,0.0,0.0
20,497982,"CANVAS_BACK_DUCK,_WITH_FRIED_HOMINY",1,1,,1913-01-01T00:00:00Z,0.0,0.0
21,507407,"__REUBEN'S_SPECIAL_TURKEY,_ROAST_VIRGINIA_HAM,_SWISS_CHEESE,_COLE_SLAW,_RUSSIAN_DRESSING__",0,0,,,0.0,0.0
22,56547,BORSCHT_KOOP,2,2,,,0.3,6.5
23,501864,"--CANARD-MALLARD,-ROTI,--",1,1,,1916-01-01T00:00:00Z,,
24,500686,--EGGS-AND-RAREBITS--,1,1,1913-01-01T00:00:00Z,1913-01-01T00:00:00Z,0.7,0.7
25,474767,"__ROAST_HOT_HOUSE_BABY_LAMB,_MINT_SAUCE__",1,1,,1912-01-01T00:00:00Z,1.5,3.0
26,236950,"__SARDINE,_WHOLE__",3,3,1958-01-01T00:00:00Z,1958-01-01T00:00:00Z,,
27,307203,__BEAN_SPROUT_FOO_YOUNG_DAN__,1,1,1944-01-01T00:00:00Z,,0.7,0.7
28,254227,"--SLOE-GIN-FIZZ,-IMP--",1,1,1987-01-01T00:00:00Z,1987-01-01T00:00:00Z,1.75,1.75
29,236264,--LE-GATEAU-MAISON-(RUM-CAKE)--,1,1,,,0.85,0.85
30,480179,--1954ER-OCKFENER-BECKSTEIN--,1,1,,,0.0,0.0
31,311980,__BEEF_TAMALE__,3,3,1937-01-01T00:00:00Z,1948-01-01T00:00:00Z,0.3,0.5
32,471273,--EGGS-AND-RAREBITS--,1,1,1957-01-01T00:00:00Z,,,
33,217494,"SAVENNIERES,_CHATEAU_DE_CHAMBOUREAU",1,1,,,0.0,0.0
34,392843,"__OYSTERS_HALF_SHELL,_CAPE_CODS__",2,2,1917-01-01T00:00:00Z,1918-01-01T00:00:00Z,0.3,0.3
35,348598,__ASSORTED_FRENCH_CHEESE__,1,1,,1938-01-01T00:00:00Z,0.0,0.0
