,id,name,menus_appeared,times_appeared,first_appeared,last_appeared,lowest_price,highest_price
0,351394,"COFFEE ICE CREAM, CARAMEL SAUCE",4,4,1933,1933,0.0,0.0
1,437737,HIS EYE BEGETS OCCASION FOR HIS WIT.,1,1,1914,1914,,
2,463188,CHICKEN   FRICASSEE WITH BOILED RICE,1,1,0,0,0.0,0.0
3,13018,TOAST AU LAIT,4,4,1900,1906,0.2,0.25
4,329501,BROILED FRESH POMPANO FILET IN LEMON BUTTER,1,1,1940,1940,1.15,1.15
5,458876,"CH DILLON, N JOHNSTON",1,1,0,0,0.0,0.0
6,428874,"SWEETBREAD, TZARINE",6,6,1912,1915,0.75,0.75
7,264903,[SALADE MONEGASQUE],1,1,1964,1964,0.0,0.0
8,407602,"ROAST SPRING LAMB, MINT SAUCE (READY)",1,1,1917,1917,0.9,0.9
9,100866,"VEAL CUTLET BROILED, FRIED OR BREADED",1,1,1900,1900,0.0,0.0
10,311611,COFFEE SUNDAE,3,3,1939,1948,0.25,0.3
11,84768,JOHANNISBERG CLAUSS '86,2,2,1900,1900,1.6,3.0
12,493662,MADÈRE,4,4,1880,1928,0.0,0.0
13,452151,"[TAVERNE ROSE PINK, BRUT]",1,1,0,0,0.0,0.0
14,111324,INDIVIDUAL WEDDING CAKES FOR EVERYBODY,1,1,1907,1907,0.0,0.0
15,160969,"SCHILDKROTENSUPPE ECHT, ""LACROIX""",1,1,0,0,0.0,0.0
16,160729,"KONIGSBERGER KLOPS IN KAPERNSAUCE, ROTE BETE, KARTOFFELN",1,1,1965,1965,0.0,0.0
17,282334,"BEEF PEPPER STEAK.  SERVED WITH VEGETABLE, SALAD, ROLL, AND CHOICE OF POTATO OR RICE",1,1,1988,1988,3.75,3.75
18,486064,[TOMATOES OR CUCUMBERS AND LETTUCE],1,1,1913,1913,0.15,0.15
19,488107,SPARKLING BURGUNDY,3,3,1913,1918,1.65,3.5
20,21522,MEXICAN TAMALES,2,2,1901,1901,0.25,0.25
21,346186,EISBEIN MIT ERBSENBREI UND SAUERKOHL,1,1,1935,1935,0.0,0.0
22,479488,"SOUTHER COLADA - SOUTHERN COMFORT, ANANASSAFT, KOKOSNUSSCREME",1,1,0,0,0.0,0.0
23,35623,BUTTER SERVED FREE WITH ORDERS AMOUNTING TO 40C,1,1,1901,1901,0.0,0.0
24,196860,HOLLANDAISE-SALAT,1,1,1910,1910,0.0,0.0
25,116691,OMELETTE WITH SAUSAGE,1,1,1901,1901,0.0,0.0
26,434561,"SCOTCH, KING WILLIAM IV",2,2,1914,1914,0.2,0.2
27,498937,[FRIED HAM AND ONE FRIED EGG],2,2,1913,1913,,
28,222074,"CHICKEN SAUTE CHASSEUR, WHITE WINE SAUCE, PARSLTY POTATO AND GREEN PEAS",1,1,1966,1966,2.5,2.5
29,395720,[DINNER READY],1,1,1917,1917,,
30,22632,"OYSTER STEW, PLAIN",8,8,1900,1945,0.2,20.0
31,56692,ROAST TAME DUCK & JELLY,2,2,1900,1900,0.0,0.0
32,124451,NEW BEETS FINES HERBES,1,1,1901,1901,0.0,0.0
33,337707,HOT WAGON SERVICE,1,1,1937,1937,0.0,0.0
34,401018,"COLD LOBSTER, MAYONNAISE SAUCE, HALF",1,1,1917,1917,0.8,0.8
35,492412,FILET OF BEEF WITH MUSHROOMS,1,1,1913,1913,,
36,484160,"OMELETTE ""KÖNIGIN-ART""",1,1,0,0,0.0,0.0
37,185351,BANANA CREAM PIE,25,28,1939,1989,0.15,2.75
38,425017,[HOT + BUNS],1,1,1915,1915,0.05,0.05
39,311757,"UNJOINTED FRIED HALF SPRING CHICKEN ON TOAST, COUNTRY GRAVY",1,1,1946,1946,0.0,0.0
40,275445,CLARET ORANGEADE,5,5,1944,1961,0.35,0.95
41,53274,EISCHAUM-NOCKEN,2,2,1901,1901,0.0,0.0
42,367522,SEA FOOD A LA MIRAMAR.,1,1,1933,1933,0.0,0.0
43,453202,CREME DU NORD,1,1,0,0,0.0,0.0
44,497953,"VEAL CUTLET BREADED, TOMATO",0,0,0,0,0.0,0.0
45,367188,"VOL AU VENT OF CHICKEN, FRESH STRING BEANS, STRAW POTATOES, CHOICE OF SALAD OR DESSERT, COFFEE OR TEA",1,1,1933,1933,0.0,0.0
46,158616,"SAUMON GRILLE, BEURRE MAITRE D'HOTEL",1,1,0,0,0.0,0.0
47,383035,"WEHLENER ROSENBERG, 1907, 1/2 BOTTLE, BOTTLE",1,1,1916,1916,0.8,1.5
48,271938,ZITI WITH CALABRESE SAUCE,1,1,1961,1961,0.0,0.0
49,391112,"?  LONDON BROIL ON TOAST, TOMATO SAUCE;",1,1,1918,1918,,
