,index,ProviderNumber,HospitalName,Address1,City,State,ZipCode,CountyName,PhoneNumber,HospitalType,HospitalOwner,EmergencyService
0,222,10012,dekalb regional medical center,200 med center drive,fort payne,al,35968,Unknown,2568453150,Acute Care Hospitals,VOLUNTARY NON-PROFIT - PRIVATE,yes
1,989,10050,st vincents blount,150 gilbreath drive,oneonta,al,35121,Unknown,2052743000,Acute Care Hospitals,VOLUNTARY NON-PROFIT - PRIVATE,yes
2,883,10045,fayette medical center,1653 temple avenue north,fayette,al,35555,Unknown,2059325966,ACUTE CARE HOSPITALS,VOLUNTARY NON-PROFIT - OTHER,yes
3,501,10022,cherokee medical center,400 northwood dr,centre,al,35960,Cherokee,2569275531,Acute Care Hospitals,VOLUNTARY NON-PROFIT - PRIVATE,yes
4,107,10007,mizell memorial hospital,702 n main st,opp,al,36467,Unknown,3344933541,Acute Care Hospitals,VOLUNTARY NON-PROFIT - PRIVATE,no
5,127,10008,crenshaw community hospital,101 hospital circle,luverne,al,36049,Chenango,3343353374,Acute Care Hospitals,GOVERNMENT - FEDERAL,yes
6,247,10015,southwest alabama medical center,33700 highway 43,thomasville,al,36784,Unknown,3346366221,ACUTE CARE HOSPITALS,GOVERNMENT - FEDERAL,yes
7,735,10035,cullman regional medical center,1912 alabama highway 157,cullman,al,35058,Unknown,2567372000,Acute Care Hospitals,GOVERNMENT - HOSPITAL DISTRICT OR AUTHORITY,yes
8,590,10025,g h lanier memorial hospital,4800 48th st,valley,al,36854,Unknown,3347561400,Acute Care Hospitals,VOLUNTARY NON-PROFIT - OTHER,yes
9,211,10011,st vincents east,50 medical park east drive,birmingham,al,35235,Unknown,2058383122,ACUTE CARE HOSPITALS,VOLUNTARY NON-PROFIT - PRIVATE,yes
10,954,10047,georgiana hospital,515 miranda st,georgiana,al,36033,Unknown,3343762205,Acute Care Hospitals,VOLUNTARY NON-PROFIT - PRIVATE,no
11,878,10045,fayette medical center,1653 temple avenue north,fayette,al,35555,Unknown,2059325966,ACUTE CARE HOSPITALS,VOLUNTARY NON-PROFIT - OTHER,yes
12,949,10047,georgiana hospital,515 miranda st,georgiana,al,36033,Unknown,3343762205,Acute Care Hospitals,VOLUNTARY NON-PROFIT - PRIVATE,no
13,56,10005,marshall medical center south,2505 u s highway 431 north,boaz,al,35957,Unknown,2565938310,Acute Care Hospitals,GOVERNMENT - HOSPITAL DISTRICT OR AUTHORITY,yes
14,31,10001,southeast alabama medical center,1108 ross clark circle,dothan,al,36302,Unknown,3347938701,Acute Care Hospitals,GOVERNMENT - HOSPITAL DISTRICT OR AUTHORITY,yes
15,860,10044,marion regional medical center,1256 military street south,hamilton,al,35570,Unknown,2059216200,Acute Care Hospitals,VOLUNTARY NON-PROFIT - PRIVATE,yes
16,437,20017,alaska regional hospital,2801 debarr road,anchorage,ak,99508,Anchorage,9072761131,Acute Care Hospitals,PROPRIETARY,yes
17,507,10022,cherokee medical center,400 northwood dr,centre,al,35960,Cherokee,2569275531,ACUTE CARE HOSPITALS,VOLUNTARY NON-PROFIT - PRIVATE,yes
18,513,10022,cherokee medical center,400 northwood dr,centre,al,35960,Cherokee,2569275531,Acute Care Hospitals,VOLUNTARY NON-PROFIT - PRIVATE,yes
19,341,10055,flowers hospital,4370 west main street,dothan,al,36305,Unknown,3347935000,Acute Care Hospitals,PROPRIETARY,yes
