,pp_id,ratio
0,1,0.3
1,2,1.0
2,3,0.26
3,4,0.4
4,5,0.07
5,6,0.3
6,7,0.17
7,8,0.17
8,9,1.0
9,10,0.0
10,11,0.0
11,12,0.97
12,13,0.52
13,14,0.97
14,15,0.615
15,16,0.595
16,17,0.5700000000000001
17,18,0.315
18,19,0.12
19,20,0.44
20,21,0.31
21,22,0.12
22,23,0.12
23,24,0.57
24,25,0.33999999999999997
25,26,0.0
26,27,0.0
27,28,0.12
28,29,0.12
29,30,0.24
30,31,1.0
31,32,0.7
32,33,0.1
33,34,0.0
34,35,0.3
35,36,0.25
36,37,0.3181818181818182
37,38,0.6
38,39,0.7
39,40,0.5
40,41,0.5
41,42,0.2
42,43,0.30000000000000004
43,44,0.4
44,45,0.1
45,46,0.3
46,47,0.55
47,48,0.2
48,49,0.8333333333333334
49,50,0.0
50,51,0.25
51,52,0.3
52,53,0.15000000000000002
53,54,0.0
54,55,0.4
55,56,0.6
56,57,0.3
57,58,0.44999999999999996
58,59,0.35
59,60,0.16666666666666666
60,62,1.0
61,63,1.0
62,64,1.0
63,65,0.95
64,66,1.0
65,67,0.05
66,68,0.525
67,69,0.525
68,70,0.575
69,71,0.15
70,72,0.5
71,73,0.5
72,74,0.5
73,75,0.5
74,76,0.575
75,77,0.625
76,78,0.5
77,79,0.5
78,80,0.5
79,81,0.525
80,87,0.6666666666666666
81,89,0.3666666666666667
82,92,1.0
83,93,0.18000000000000002
84,94,0.05333333333333334
85,98,0.48
86,99,0.46
87,100,0.03
88,101,0.03
89,102,0.51
90,103,0.5
91,104,0.66
92,105,0.6666666666666666
93,106,0.6333333333333333
94,107,0.6333333333333333
95,108,0.64
96,109,0.6666666666666666
97,110,0.865
98,111,0.0
99,112,0.0
100,113,0.09333333333333334
101,114,0.14
102,115,0.34
103,116,0.0
104,117,0.07333333333333333
105,118,0.0
106,119,0.0
107,120,0.03333333333333333
108,121,0.0
109,122,0.0
110,123,0.0
111,124,0.0
112,125,0.06666666666666667
113,126,0.0
114,127,0.25
115,128,0.45
116,129,0.4
117,130,0.5166666666666666
118,131,0.7166666666666667
119,132,0.21666666666666665
120,133,0.3
121,134,0.3
122,135,0.47500000000000003
123,136,0.5
124,137,0.375
125,138,0.2833333333333334
126,139,0.5333333333333333
127,140,0.45
128,141,0.6166666666666667
129,142,0.425
130,143,0.25
131,144,0.425
132,145,0.55
133,146,0.625
134,147,0.45
135,148,0.525
136,149,0.5833333333333334
137,150,0.45
138,151,0.45
139,152,0.30000000000000004
140,153,0.775
141,154,0.5
