ID,Purposes,flag
1,Find the longest menu served (by page count).,1
2,What is the average page numbers for the menus?,1
3,Determine the number of distinct event types in the dataset.,1
4,"List number of rows where the menu event is specifically marked as ""DINNER"".",1
5,"List number of rows where the menu event is marked as ""LUNCHEON""",1
6,Identify the number of unique venues present in the dataset.,1
7,Find number of menus that are for Daily used occasion.,1
8,"Determine the number of unique occasions in the dataset, replacing any missing values with UNKNOWN",1
9,Evaluate whether the menu page design needs redesign by identifying the highest dish count-to-page count ratio.,1
10,Calculate the average dish count per menu.,1
11,Identify the menu with the highest dish count-to-page count ratio.,1
12,"Identify how many locations offer menus with more than 8 pages, replacing any missing or unexist locations with
""UNKNOWN"".",1
13,Identify sponsors who have published that they accept Dollars.,0
14,Find the sponsors that offer the highest number of dishes on their menu.,0
15,Identify which sponsors offer breakfast.,0
16,Identify which sponsors offer lunch.,0
17,Identify which sponsors offer dinner.,0
18,Identify sponsors that have two or more events available.,0
19,Determine the average number of pages for menus across different venues.,0
20,Count the number of unique sponsors in the dataset.,1
21,List the number of rows where the event is specifically marked as 'BANQUET.',1
22,Determine the total number of unique occasions across all menus.,1
23,Identify the top three venues with the highest average dish count per menu.,0
24,"Classify menus by their status, i.e., how many different status recorded in the table.",1
25,Identify menus where sponsors accept dollers as currency.,1
26,Analyze the trend of menu publication over time by counting the number of menus published per year.,0
27,"Evaluate whether menus created in later years (e.g., after 1950) tend to have higher dish count-to-page count ratio.",1
28,Identify venues where the page count exceeds 10.,0
29,Filter menus where the occasion column contains 'DAILY'.,1
30,How many different types of currency in menus?,1
31,Count how many types of risks are recorded in the dataset.,1
32,What percentages of businesses are inspected as out of business? ,1
33,Identify the main facility types that are inspected.,0
34,Identify which facility types are inspected least frequently.,0
35,Count the unique types of inspections.,1
36,"List all failed inspections for the establishment with the DBA name ""7-Eleven.""",0
37,"Calculate the inspection passing rate (number of passing inspections/total inspections) for each brand (the same DBA Name), 
sorting to identify the best brand.",0
38,List the facilities with the best inspection ratings: Risk 3 (Low).,0
39,List the facilities with the worst inspection ratings: Risk 1 (High).,0
40,Identify the most frequently occurring risk rating for each facility type.,0
41,Identify the facility type associated with the high public risk (risk level is Risk 1).,0
42,Determine how many grocery stores are classified as high risk (Risk 1).,1
43,Find the most common result for each facility.,0
44,Explore the proportion of inspections that result in a positive outcome.,1
45,Calculate the average number of inspections per facility type.,1
46,"What is the correlation between risk level and risk label? For example, is risk 1 always with high?",0
47,Determine the facility type with the highest failure rate.,0
48,List the franchise with the most frequent inspections.        ,0
49,"Determine the number of school restaurants that are the safest in terms of standards and quality, 
as indicated by the lowest risk level and inspection results.",1
50,Count the number of inspections conducted as part of a complaint.,1
51,Locate facilities with positive inspection results.,0
52,"Identify the addresses of facilities that are considered safe for food consumption based on risk (Risk 3 (Low)) 
and inspection results (pass).",0
53,"List the inspection results for all businesses with ""Risk 1 (Low).""",0
54,Determine the most recent year of inspection dates.,1
55,Identify the most occurred business names.,0
56,List license IDs with the best inspection results (Pass).,0
57,Identify businesses where the inspection risk level varies significantly over time.,0
58,Identify the most common risk levels for inspections conducted in restaurant.,0
59,Identify businesses inspected on the most recent date.,0
60,Determine the id of facility type that are inspected in the most recent date.,0
62,Calculate the average loan amount across all PPP loans.,1
63,What's the highest LoanAmount?,1
64,What's the lowest LoanAmount?,1
65,Report all NAICS Codes that indicate job counts greater than 3.0.,0
66,Examine if a correlation exists between jobs reported and the loan amount received.,1
67,Determine how many PPP loans were disbursed in the city of Honolulu.,1
68,Identify the top 10 business types that received the most PPP loans.,0
69,Identify the types of businesses that received the highest amount of PPP loans and the corresponding dollar amounts.,0
70,Identify the types of businesses that received the lowest amount of PPP loans and the corresponding dollar amounts.,0
71,Check if multiple PPP loans were made to distinct companies sharing the same Zip code.,0
72,"For a given zip code, determine how many loans were provided.",0
73,"For a given zip code, calculate the total amount of all loans provided.",0
74,Which gender type received the most amount of PPP loans and dollar amount? ,0
75,Which gender type districts received the least  amount of PPP loans and dollar amount? ,0
76,Identify the cities that received the highest amount of PPP loans and the corresponding dollar amounts.,0
77,Identify the cities that received the lowest amount of PPP loans and the corresponding dollar amounts.,0
78,Determine the zip codes that received the highest amount of PPP loans and the corresponding dollar amounts.,1
79,Determine the zip codes that received the lowest amount of PPP loans and the corresponding dollar amounts.,1
80,Determine which races received the highest amount of PPP loans and the corresponding dollar amounts.,0
81,Determine which races received the lowest amount of PPP loans and the corresponding dollar amounts.,0
87,Calculate the ratio of total Loan Amount to Jobs Reported in each city (total Loan Amount in the city divided by total Jobs Reported in the city).,0
89,"Identify geography that have the highest loan amounts. Geography defined by the fields City, State, and Zip Code.",0
92,Calculate the average number of times each dish has appeared on the menu.,1
93,"Identify which dishes have been on the menu for the shortest duration, based on their 'first_appeared' and 'last_appeared' dates.",0
94,"Identify which dishes have been on the menu for the longest duration, based on their 'first_appeared' and 'last_appeared' dates.",0
98,Identify the cheapest dish based on the lowest price.,0
99,Identify the most expensive dish based on the highest price.,0
100,Find dishes that first appeared before the year 2000.,0
101,Identify which dishes were the first to appear on the menu.,0
102,Determine which dishes were the most popular overall on the menus.,0
103,Determine which dishes were the least popular overall on the menus.,0
104,"Analyze how the highest price has evolved for the top 10 popular dishes, sorting the ""times_appeared"" column to define the popularity of the dishes.",0
105,"Analyze how the lowest price has evolved for the top 10 popular dishes, sorting the ""times_appeared"" column to define the popularity of the dishes.",0
106,Identify which dishes have experienced a lowest price difference.,0
107,Identify which dishes have experienced a highest price difference.,0
108,Compare the average price of a given dish.,0
