,Inspection ID,DBA Name,AKA Name,License #,Facility Type,Risk,Address,City State Zip,Inspection Date,Inspection Type,Results
0,1146519,KENDALL COLLEGE,KENDALL COLLEGE/CULINARY SCHOOL KITCHEN CLASSROOMS,2013962,COLLEGE,Risk 1 (High),900 N NORTH BRANCH ST,"Chicago,IL,60642",2013-09-09T00:00:00Z,Canvass,Fail
1,,RESTAURANT DEPOT/JETRO CASH & CARRY,RESTAURANT DEPOT/JETRO CASH & CARRY,2065181,wholesale,Risk 3 (Low),1030 W DIVISION ST,"CCHICAGO,IL,60642",2012-10-04T00:00:00Z,Complaint,Fail
2,1296685,Bradwell School of Excellence,Myra Bradwell Math Science and Technology Academy,22291,school,Risk 1 (High),7736 S Burnham (2800E),"chicago,IL,60649",2013-11-14T00:00:00Z,Canvass Re-inspection,Pass
3,,THE ALLERTON HOTEL,THE ALLERTON HOTEL,1920830,restrant,Risk 1 (High),701 N Michigan AVE,"Chicago,IL,60611",,Short Form Complaint,Pass
4,1327097,MY FIT FOODS,MY FIT FOODS,2229577,Grocery_Store,Risk 3 (Low),3701 N HALSTED ST,",IL,",,License,Pass
5,1473851,BOHO BOHEMIAN HOUSE,BOHO,2303850,restaurant,Risk 1 (High),11 W ILLINOIS ST,",IL,",2014-06-19T00:00:00Z,License,Pass
6,1271499,SUN FRESH MARKET & DELI,SUN FRESH MARKET & DELI,2021825,grocery store,Risk 1 (High),3640 N CENTRAL AVE,"CCHICAGO,IL,60634",2013-01-14T00:00:00Z,Canvass,Pass
7,251137,"DOLLAR TREE STORE, INC.",,1954150,grocery_store,Risk 3 (Low),5235-5237 N BROARDWAY,",IL,",2010-06-22T00:00:00Z,License Re-inspection,Pass
8,580237,SUPREME CATERING,SUPREME CATERING,1678585,mobil food dispenser,Risk 3 (Low),1900 MAYWOOD DR,"MAYWOOD,IL,60153",2011-04-06T00:00:00Z,License,Out of Business
9,1434977,THE ALLERTON HOTEL,THE ALLERTON HOTEL,2313729,Restaurant,Risk 1 (High),701 N Michigan AVE,"Chicago,IL,60611",2014-04-21T00:00:00Z,License Re-inspection,Pass
