,Inspection ID,DBA Name,AKA Name,License #,Facility Type,Risk,Address,City State Zip,Inspection Date,Inspection Type,Results
0,1076265,PAPA T'S ITALIANO,,1681032,Mobile Food Dispenser,Risk 3 (Low),2843 W 63RD ST,"INACTIVE,IL,60629",2012-04-27T00:00:00Z,Canvass,out of business
1,250364,THE POWELL BRANCH,,26292,School,Risk 1 (High),7765 S Coles Ave ( 2500E),"CHARLES A HAYES,IL,60649",2010-05-28T00:00:00Z,Canvass,Pass
2,58237,THE DINING ROOM AT KENDALL NFP,THE DINING ROOM,1963512,Restaurant,Risk 1 (High),900 N NORTH BRANCH ST,"CHICAGO,IL,60642",2010-01-07T00:00:00Z,Canvass,Pass
3,1290268,Carson (New),Carson (New),70217,School,Risk 1 (High),2550 W 56th (5600S) ST,"CHICAGO,IL,60629",2013-01-18T00:00:00Z,Canvass,Pass
4,67788,Carson (Old),Carson (Old),22601,School,Risk 1 (High),5516 S Maplewood (2532W) AVE,"CHICAGO,IL,60629",2010-01-07T00:00:00Z,Canvass,Pass
5,1591546,FAMILY DOLLAR #3301,FAMILY DOLLAR #3301,1247850,Grocery Store,Risk 3 (Low),9101 S COMMERCIAL AVE,"CHICAGO,IL,60617",2015-12-10T00:00:00Z,Canvass,Pass
6,1369223,CUPCAKES FOR COURAGE,CUPCAKES FOR COURAGE,2263359,Mobile Food Dispenser,Risk 3 (Low),108 W PARK,"ELMHURST,IL,60126",2013-09-25T00:00:00Z,License Re-inspection,pass
7,2009720,THE GODDESS GOLD COAST,THE GODDESS AND GROCER,2397687,Restaurant,Risk 1 (High),1127 N STATE ST,"CCHICAGO,IL,60610",2017-04-04T00:00:00Z,Canvass,Pass
8,1361371,La Michoacana Natural,La Michoacana Natural,2270685,Restaurant,Risk 2 (Medium),6149 W Grand AVE,"CHICAGO,IL,60639",2013-09-27T00:00:00Z,License,Fail
9,1199796,Chicago Academy for the Arts,Chicago Academy for the Arts,3200708,School,Risk 3 (Low),1010 W Chicago AVE,"CHICAGO,IL,60642",2015-05-07T00:00:00Z,Canvass,Pass
