,Inspection ID,DBA Name,AKA Name,License #,Facility Type,Risk,Address,City State Zip,Inspection Date,Inspection Type,Results
0,419465,,,2060790,Restaurant,Risk 3 (Low),4634 N ROCKWELL ST,",IL,",10/14/2010,License,Fail
1,,,IZAKAYA YUME,2476379,Mobile Food Preparer,Risk 2 (Medium),950 ESTES CT,"SCHAUMBURG,IL,60193",06/21/2017,Canvass Re-inspection,Fail
2,,Starbucks,STARBUCKS COFFEE,23077,Restaurant,Risk 2 (Medium),202 N Michigan AVE,"Chicago,IL,60601",11/29/2010,Canvass,Pass
3,1496425,,Black Magnet Branch,29382,School,Risk 1 (High),7133 S Coles (2500E),"chicago,IL,60649",09/08/2014,Canvass,Pass
4,,,BOHO,2303850,Restaurant,Risk 1 (High),11 W ILLINOIS ST,",IL,",06/19/2014,License,Pass
5,1335694,Payton,WALTER PAYTON COLLEGE PREP,70020,School,Risk 1 (High),1034 N Wells ST,"CHicago,IL,60610",05/22/2013,Canvass,Pass
6,,Residence Inn,RESIDENCE INN CHICAGO DOWNTOWN,2391644,Restaurant,Risk 3 (Low),11 S LA SALLE ST,"Chicago,IL,60603",10/09/2015,License Re-inspection,Pass
7,,Mark Twain,,2225623,School,Risk 1 (High),5131 S LINDER AVE,"chicago,IL,60638",05/14/2012,Canvass,Out of Business
8,1076260,Unknown Restaurant,PAPA T'S ITALIANO,1681040,MOBILE FOOD TRUCK,Risk 3 (Low),2843 W 63RD ST,"INACTIVE,IL,60629",04/27/2012,Canvass,Out of Business
9,,Kendall College,FRANKE KITCHEN ROOM 526,2013962,School,Risk 1 (High),900 N NORTH BRANCH ST,"Chicago,IL,60642",09/09/2013,Canvass,Out of Business
