,id,name,menus_appeared,times_appeared,first_appeared,last_appeared,lowest_price,highest_price
0,351394,,4,4,1933,1933,0.0,0.0
1,437737,,1,1,1914,1914,,
2,463188,,1,1,0,0,0.0,0.0
3,13018,,4,4,1900,1906,0.2,0.25
4,329501,,1,1,1940,1940,1.15,1.15
5,458876,,1,1,0,0,0.0,0.0
6,428874,,6,6,1912,1915,0.75,0.75
7,264903,,1,1,1964,1964,0.0,0.0
8,407602,,1,1,1917,1917,0.9,0.9
9,100866,,1,1,1900,1900,0.0,0.0
10,311611,,3,3,1939,1948,0.25,0.3
11,84768,,2,2,1900,1900,1.6,3.0
12,493662,,4,4,1880,1928,0.0,0.0
13,452151,,1,1,0,0,0.0,0.0
14,111324,,1,1,1907,1907,0.0,0.0
15,160969,,1,1,0,0,0.0,0.0
16,160729,,1,1,1965,1965,0.0,0.0
17,282334,,1,1,1988,1988,3.75,3.75
18,486064,,1,1,1913,1913,0.15,0.15
19,488107,,3,3,1913,1918,1.65,3.5
20,21522,,2,2,1901,1901,0.25,0.25
21,346186,,1,1,1935,1935,0.0,0.0
22,479488,,1,1,0,0,0.0,0.0
23,35623,,1,1,1901,1901,0.0,0.0
24,196860,,1,1,1910,1910,0.0,0.0
25,116691,,1,1,1901,1901,0.0,0.0
26,434561,,2,2,1914,1914,0.2,0.2
27,498937,,2,2,1913,1913,,
28,222074,,1,1,1966,1966,2.5,2.5
29,395720,,1,1,1917,1917,,
30,22632,,8,8,1900,1945,0.2,20.0
31,56692,,2,2,1900,1900,0.0,0.0
32,124451,,1,1,1901,1901,0.0,0.0
33,337707,,1,1,1937,1937,0.0,0.0
34,401018,,1,1,1917,1917,0.8,0.8
35,492412,,1,1,1913,1913,,
36,484160,,1,1,0,0,0.0,0.0
37,185351,,25,28,1939,1989,0.15,2.75
38,425017,,1,1,1915,1915,0.05,0.05
39,311757,,1,1,1946,1946,0.0,0.0
40,275445,,5,5,1944,1961,0.35,0.95
41,53274,,2,2,1901,1901,0.0,0.0
42,367522,,1,1,1933,1933,0.0,0.0
43,453202,,1,1,0,0,0.0,0.0
44,497953,,0,0,0,0,0.0,0.0
45,367188,,1,1,1933,1933,0.0,0.0
46,158616,,1,1,0,0,0.0,0.0
47,383035,,1,1,1916,1916,0.8,1.5
48,271938,,1,1,1961,1961,0.0,0.0
49,391112,,1,1,1918,1918,,
