,id,name,menus_appeared,times_appeared,first_appeared,last_appeared,lowest_price,highest_price
0,276837,__creme_d'asperges_nouvelles_aux_fleurons__,1,1,1954,1954,,
1,236129,__BEAN_CURD_WITH_CHINESE_MUSHROOMS__,1,1,1977,1977,,
2,184225,__bread_and_butter_white__,2,2,1938,1938,,
3,312235,__vintner's_sauterne__,3,3,1943,1946,,
4,492738,"egg,-tetrazini",1,1,1913,1913,,
5,232786,__bean_curd_with_chinese_mushrooms__,7,7,1953,1965,,
6,387942,"__ROAST_HOT_HOUSE_BABY_LAMB,_MINT_SAUCE__",1,1,1918,1918,,
7,18775,pouding-a-l'imperatrix,1,1,1900,1900,,
8,109996,"--california-fresh-fruit-salad,-with-cottage-cheese,-sour-cream--",1,1,1907,1907,,
9,497982,saint-marceaux-very-dry,1,1,1913,1913,,
10,170818,"__1964ER_CHATEAU_LA_TOUR_GAYET,_COTES_DE_BLAYE_AC__",1,1,0,0,,
11,144665,--saumon-bouilli--,1,1,0,0,,
12,172711,"--FRESH-FRUIT-SALAD,-COUNTRY-COTTAGE-CHEESE,-SOUR-CREAM-SALAD-DRESSING--",1,1,1987,1987,,
13,480179,1954er-ockfener-beckstein,1,1,0,0,,
14,355492,romaine_and_pineapple_salad,23,25,1912,1933,,
15,138730,SELECTED_DELICACIES_FROM_VARIOUS_COUNTRIES,1,1,0,0,,
16,499315,__broiled_or_fried_green_bluefish__,1,1,1913,1913,,
17,311757,SUNOMONO,1,1,1946,1946,,
18,344502,__macedoine_de_fruits_au_marasquin__,1,1,1935,1935,,
19,486757,"__tenderloin_steak,_with_truffles__",1,1,1913,1913,,
20,479488,"--""-souther-colada""---southern-comfort,-ananassaft,-kokosnusscreme--",1,1,0,0,,
21,484955,--FRESH-HOME=MADE-RHUBARB-PIE--,7,8,1913,1913,,
22,494938,"__STRAWBERRY,_PEACH_OR_RASPBERRY_JAM__",1,1,1961,1961,,
23,104232,__1954er_ockfener_beckstein__,1,1,1891,1891,,
24,137931,__bread_and_butter_white__,1,1,1980,1980,,
25,307106,__saumon_bouilli__,3,3,1944,1948,,
26,296409,__kippered_alaska_cod__,1,1,1955,1955,,
27,195402,__malteser_reis-creme__,2,2,1910,1910,,
28,293494,"__boiled_fresh_brisket_of_beef,_horseradish_sauce,_bouillon_potatoes__",2,2,1953,1953,,
29,133584,__selected_delicacies_from_various_countries__,1,1,1969,1969,,
30,78287,__roast_leg_of_mutton_currant_jelly__,3,3,1900,1917,,
31,139437,--frecciarossa--,5,5,1939,1958,,
32,293589,cream_caroline_soup,1,1,1953,1953,,
33,342575,"egg,_tetrazini",1,1,1901,1901,,
34,219673,"--CALIFORNIA-FRESH-FRUIT-SALAD,-WITH-COTTAGE-CHEESE,-SOUR-CREAM--",1,1,1979,1979,,
35,151584,__BOURBON_WHISKY_FOUR_ROSES_4_CL__,1,1,1966,1966,,
36,452933,__SQUAB_CASSEROLE__,1,1,0,0,,
37,399522,schweserpasteten,1,1,1917,1917,,
38,66536,__saumon_bouilli__,1,1,1885,1885,,
39,111324,__individual_wedding_cakes_for_everybody__,1,1,1907,1907,,
40,454936,__chateau_latour_blanche_b_&_g_sauternes__,1,1,0,0,,
41,489930,"old_seal_brandy,_pony",1,1,1913,1913,,
42,71818,"COFFEE,_PER_POT_OR_CUP",1,1,1891,1891,,
43,281411,"2_eggs,_any_style,_served_with_hashbrowns_&_hot_buttered_toast",1,1,1988,1988,,
44,24641,"__potatoes,_sautees_or_stewed__",2,2,1900,1901,,
45,126273,__broiled_or_fried_green_bluefish__,1,1,1906,1906,,
46,422736,"__broiled_sweetbreads,_green_peas__",1,1,1915,1915,,
47,413843,"__fr_ochsenbrust_""flamisch""_mit_bouillonkartoffeln_und_sahnemeerrettich__",1,1,1973,1973,,
48,297102,__BROILED_OR_FRIED_GREEN_BLUEFISH__,1,1,1955,1955,,
49,20365,"__thee,_kaffee,_hafercacao__",1,1,1900,1900,,
