ID,Purposes
10,Calculate the average dish count per menu.
11,Identify the menu with the highest dish count-to-page count ratio.
19,Determine the average number of pages for menus across different venues.
20,Count the number of unique sponsors in the dataset.
21,List the number of rows where the event is specifically marked as 'BANQUET.'
22,Determine the total number of unique occasions across all menus.
23,Identify the top three venues with the highest average dish count per menu.
24,"Classify menus by their status, i.e., how many different status recorded in the table."
25,Identify menus where sponsors accept dollers as currency.
26,Analyze the trend of menu publication over time by counting the number of menus published per year.
27,"Evaluate whether menus created in later years (e.g., after 1950) tend to have higher dish count-to-page count ratio."
28,Identify venues where the page count exceeds 10.
29,Filter menus where the occasion column contains 'DAILY'.
30,How many different types of currency in menus?
35,Count the unique types of inspections.
43,Find the most common result for each facility.
44,Explore the proportion of inspections that result in a positive outcome.
45,Calculate the average number of inspections per facility type.
46,"What is the correlation between risk level and risk label? For example, is risk 1 always with high?"
47,Determine the facility type with the highest failure rate.
48,List the franchise with the most frequent inspections.
50,Count the number of inspections conducted as part of a complaint.
51,Locate facilities with positive inspection results.
53,"List the inspection results for all businesses with ""Risk 1 (Low)."""
54,Determine the most recent year of inspection dates.
55,Identify the most occurred business names.
56,List license IDs with the best inspection results (Pass).
57,Identify businesses where the inspection risk level varies significantly over time.
58,Identify the most common risk levels for inspections conducted in restaurant.
59,Identify businesses inspected on the most recent date.
60,Determine the id of facility type that are inspected in the most recent date.
127,Count the number of hospitals per city.
128,Explore whether larger cities host more hospitals.
129,Calculate the average number of hospitals per county.
130,"Determine the top 3  counties whose hospital type is ""acute care hospitals"" offering emergency services."
131,Identify the hospital ownership types that are most common in cities with multiple ZIP codes.
132,Compute the average length of hospital names grouped by hospital type and ownership.
133,"Count the number of hospitals offering emergency services by ""acute care hospitals"" hospital type."
134,Determine the most frequent combinations of hospital type and ownership.
135,"Count the number of hospitals by county, grouped by the presence or absence of emergency services."
136,Find the number of cities with hospitals owned by voluntary non-profits and offering emergency services.
137,Find hospital types among different counties.
138,Identify cities where critical access hospitals are primarily government-owned.
139,Count ZIP codes based on the diversity of hospital types and ownerships.
140,Determine the top 3 cities with the highest ratio of acute care hospitals to total hospitals.
141,Analyze how hospital types evolve across the ZIP code of one city.
142,Analyze trends in emergency service availability across hospital types with the highest hospital counts.
143,Analyze whether the hospital owernship changed among counties for the same type.
144,Assess the relationship between hospital ownership and the likelihood of offering emergency services.
145,Investigate correlations between city size (estimated by the number of hospitals) and the prevalence of emergency services.
146,Explore the relationship between hospital types and their geographical distribution by ZIP code.
147,Analyze how ownership type correlates with hospital type.
148,Retrieve the number of counties that offer the emergency services.
149,Filter for hospitals owned by governments that are located in ZIP codes with multiple hospital types.
150,How many hospital types offer emergency services.
151,Query hospitals in cities with voluntary non-profit ownership and their hospital type.
152,Identify cities where government-owned hospitals dominate the hospital landscape.
153,Determine the relationship between ZIP code density and the likelihood of offering emergency services.
154,Filter for hospitals located in cities with at least three different hospital ownership types.
111,Calculate the average delay in departure times across all flights. Keep A.M. and P.M. unchanged.
112,Calculate the average flight duration based on scheduled times.
113,Determine the airline carrier with the best on-time departure performance.
114,Count the number of flights operated by each airline carrier.
115,Identify the most frequent flight number in the dataset.
116,Determine the number of flights arriving in the evening (after 6 PM).
117,Group flights by airline carrier and count the number of on-time arrivals.
118,"Classify flights based on whether they are ""on-time,"" ""early,"" or ""delayed."""
119,"Categorize flights based on arrival times into ""A.M."" and ""P.M.""."
120,"Identify which airline carrier handles the most ""delayed"" flights."
121,Detect flights where the actual departure time is earlier than scheduled.
122,"Identify flights with unrealistic durations (e.g., arrival time before departure time)."
123,Analyze the trend of delayed departures by hour of the day.
124,Identify the hour with the highest number of on-time arrivals.
125,Track the monthly performance of airline carriers in terms of on-time departures.
126,List the top 5 flights with the largest discrepancy between scheduled and actual times.
