,Inspection ID,DBA Name,AKA Name,License #,Facility Type,Risk,Address,City State Zip,Inspection Date,Inspection Type,Results
0,1990124,7-Eleven #37622B,7-ELEVEN #37622B,2492548,Grocery Store,Risk 2 (Medium),4 W JACKSON BLVD,",IL,",2017-03-07T00:00:00Z,License,PASSED
1,1990142,IZAKAYA YUME,IZAKAYA YUME,2476379,Mobile Food Preparer,Risk 2 (Medium),950 ESTES CT,"SCHAUMBURG,IL,60193",2017-03-07T00:00:00Z,License,PASSED
2,1990130,7-Eleven #37622B,7-ELEVEN #37622B,2492551,Grocery Store,Risk 2 (Medium),4 W JACKSON BLVD,",IL,",2017-03-07T00:00:00Z,License,PASSED
3,1990118,7-Eleven #37622A,7 ELEVEN,2442933,Grocery Store,Risk 1 (High),4 W JACKSON BLVD,",IL,",2017-03-07T00:00:00Z,Canvass,FAILED
4,1989593,THREE CHEFS RESTURANT,THREE CHEFS RESTURANT,2009471,Restaurant,Risk 1 (High),8125 S HALSTED ST,",IL,60620",2017-02-23T00:00:00Z,Complaint Re-inspection,PASSED
5,1989559,CAFE 222 LLC,CAFE 222 LLC,2496208,Restaurant,Risk 1 (High),222 N CANAL ST,"Chicago,IL,60606",2017-02-23T00:00:00Z,License,PASSED
6,1989551,CAFE 222 LLC,CAFE 222 LLC,2496207,Restaurant,Risk 1   (High),222 N CANAL ST,"Chicago,IL,60606",2017-02-23T00:00:00Z,License,PASSED
7,1770904,7-Eleven #37622A,7 ELEVEN,2442933,Grocery Store,Risk 1 (High),4 W JACKSON BLVD,",IL,",2016-05-17T00:00:00Z,License,FAILED
8,1989214,HALSTED STREET DELI & BAGEL,,2358755,Restaurant,Risk 1 (High),133 N WELLS ST,",IL,",2017-02-16T00:00:00Z,Canvass,FAILED
9,1931400,7-Eleven #37622A,7 ELEVEN,2442936x,Grocery Store,Risk 3 (Low),4 W JACKSON BLVD,",IL,",2016-05-23T00:00:00Z,License Re-inspection,PASSED
