,Inspection ID,DBA Name,AKA Name,License #,Facility Type,Risk,Address,City State Zip,Inspection Date,Inspection Type,Results
0,1527976,South Loop Elementary,South Loop Elementary,1745,School,Risk 3 (Low),1212 S Plymouth CT,"Chicago,IL,60605",03/18/2015,Canvass,Pass
1,234039,A-MI-THA RESTAURANT,A-MI-THA RESTAURANT,1143174,Restaurant,Risk 1 (High),6207 N MILWAUKEE AVE,"Chicago,IL,60646",05/19/2010,Canvass,Pass
2,1188596,LUTZ CONTINENTAL CAFE & PASTRY SHOP,LUTZ CONTINENTAL CAFE & PASTRY SHOP,1356917,Bakery,Risk 2 (Medium),2454-2458 W MONTROSE AVE,"CCHICAGO,IL,60618",04/29/2013,Canvass,Fail
3,1088220,ATTOCK SUBMARINE,ATTOCK SUBMARINE,1381387,Restaurant,risk 2 (medium),3006 E 92ND ST,"Chicago,IL,60617",07/11/2012,Canvass,Out of Business
4,1516361,KING'S CHOP SUEY,KING'S CHOP SUEY,2055457,Restaurant,Risk 3 (Low),4635 W 63RD ST,"chicago,IL,60629",07/16/2015,Canvass,Pass
5,1578775,RESIDENCE INN CHICAGO DOWNTOWN,RESIDENCE INN CHICAGO DOWNTOWN,2391645,Restaurant,Risk 3 (Low),11 S LA SALLE ST,"Chicago,IL,60603",10/09/2015,License Re-inspection,Pass
6,1076265,PAPA T'S ITALIANO,,1681032,Mobile Food Dispenser,risk 3 (low),2843 W 63RD ST,"INACTIVE,IL,60629",04/27/2012,Canvass,Out of Business
7,1296347,OK MINI GROCERY STORE,OK MINI GROCERY,2252649,Grocery Store,Risk 3 (Low),2342 E 75TH ST,",IL,60649",05/03/2013,License Re-inspection,Pass
8,1271393,A-MI-THA RESTAURANT,A-MI-THA RESTAURANT,1143174,Restaurant,Risk 1 (High),6207 N MILWAUKEE AVE,"Chicago,IL,60646",10/11/2012,Canvass,Pass
9,80285,"DOLLAR TREE STORE, INC.",,1954150,Grocery Store,Risk 3 (Low),5235-5237 N BROARDWAY,",IL,",04/27/2010,License,Fail
