id,name,menus_appeared,times_appeared,first_appeared,last_appeared,lowest_price,highest_price,Column 9
93027,"__REUBEN'S_SPECIAL_TURKEY,_ROAST_VIRGINIA_HAM,_SWISS_CHEESE,_COLE_SLAW,_RUSSIAN_DRESSING__",1.0,1,1895,1895,,,
329018,__ZITI_WITH_CALABRESE_SAUCE__,1.0,1,1940,1940,0.25,0.25,
291963,ox-tongue-mikado,1.0,1,1963,1963,0.0,0.0,
491518,salade_de_betterave,1.0,1,1962,1962,0.0,0.0,
323938,__key_west_turtle_soup__,2.0,2,1939,1939,,,
344502,MACEDOINE_DE_FRUITS_AU_MARASQUIN,1.0,1,1935,1935,0.0,0.0,
333801,fresh_fruit_cocktail_eire_style,1.0,1,1941,1941,0.0,0.0,
189312,pea-pods-with-water-chesnuts-and-pork,1.0,1,0,0,0.0,0.0,
317897,__santa_clara_cabernet__,1.0,1,1949,1949,0.0,0.0,
283031,POTATOES_OR_POT_CHEESE_WITH_SOUR_CREAM,1.0,1,1954,1954,0.0,0.0,
161514,__johannisbeersaft__,8.0,8,1955,1988,0.0,0.0,
409469,__vintage_port_martinez_1963__,1.0,1,1939,1939,,,
139503,__macedoine_de_fruits_au_marasquin__,1.0,1,1961,1961,0.0,0.0,
234259,--brandy-domestic--,3.0,3,1947,1966,0.38,0.8,
199800,hominy_fritters_currant_sauce,1.0,1,1910,1910,0.0,0.0,
321713,"__conch_stew_with_peas_&_rice,_coleslaw,_potato_salad,_vegetables_or_bake_potato__",1.0,1,1995,1995,15.0,15.0,
165665,"__HØNSEKOD,_ASPARGES,_CHAMPIGNONS,_AGURK_I_MAYONNAISE__",1.0,1,0,0,0.0,0.0,
144665,__ox-tongue_mikado__,1.0,1,0,0,0.0,0.0,
310385,"__SLOE_GIN_FIZZ,_IMP__",1.0,1,1947,1947,0.75,0.75,
276177,__CILL_MANTAIN_PEAS__,1.0,1,1963,1963,0.0,0.0,
189960,FRIED-RICE-WITH-PORK,2.0,2,0,0,3.95,3.95,
493662,--madère--,4.0,4,1880,1928,0.0,0.0,
314556,__POTATOES_OR_POT_CHEESE_WITH_SOUR_CREAM__,1.0,1,1948,1948,0.95,0.95,
307106,__HAMBURGER_ROAST_TOMATO_SAUCE__,3.0,3,1944,1948,0.0,0.0,
500686,"--LOBSTER,-FULL-ORDER--",1.0,1,1913,1913,0.7,0.7,
414243,__chilled_alberta_peaches_with_cream__,1.0,1,1942,1942,0.15,0.15,
271938,HOLLANDAISE-SALAT,1.0,1,1961,1961,0.0,0.0,
358124,ayala_brut_champagne,1.0,1,1906,1906,0.0,0.0,
225620,TOASTED_ROLLS_WITH_WITH_A_SMALL_PITCHER_OF_CREAM_AND_WITH_BUTTER,1.0,0,1965,1965,0.0,0.0,
26273,hominy_fritters_currant_sauce,1.0,1,1900,1900,0.0,0.0,
2812,--PAUL-JONES--,13.0,13,1900,1959,0.1,1.5,
399522,--fried-3-oysters--,1.0,1,1917,1917,0.2,0.2,
240527,ayala_brut_champagne,1.0,1,1958,1958,0.0,0.0,
99490,"__BROILED_LAMP_CHOPS,_TWO__",2.0,2,1900,1906,0.0,0.0,
142989,__vintage_port_martinez_1963__,1.0,1,1974,1974,0.0,0.0,
486991,__sole_grillee_beurre_maitre-d_hotel__,2.0,2,1913,1913,0.45,0.45,
323774,__surprise_of_fruit__,1.0,1,1939,1939,0.0,0.0,
507407,__hominy_fritters_currant_sauce__,0.0,0,0,0,0.0,0.0,
248003,"__BROILED_LAMP_CHOPS,_TWO__",1.0,1,1957,1957,2.75,2.75,
195279,new-laid_eggs,,7,7,1910,1910.0,0.0,0.0
311611,__HAMBURGER_ROAST_TOMATO_SAUCE__,,3,3,1939,1948.0,0.25,0.3
208138,"LOBSTER,_FULL_ORDER",5.0,5,1969,1969,0.0,0.0,
499315,"__calf's_brains_fried,_tomato_sauce__",1.0,1,1913,1913,0.25,0.25,
136635,"--hønsekod,-asparges,-champignons,-agurk-i-mayonnaise--",1.0,1,1976,1976,0.0,0.0,
196860,--hollandaise-salat--,1.0,1,1910,1910,0.0,0.0,
264903,__broiled_or_fried_green_bluefish__,1.0,1,1964,1964,0.0,0.0,
203577,"__broiled_lamp_chops,_two__",1.0,1,1910,1910,0.0,0.0,
456728,__toasted_rolls_with_with_a_small_pitcher_of_cream_and_with_butter__,1.0,1,0,0,0.0,0.0,
351394,"__COFFEE_ICE_CREAM,_CARAMEL_SAUCE__",,4,4,1933,1933.0,0.0,0.0
409469,__santa_clara_cabernet__,,1,1,1939,1939.0,,
