,Unnamed: 0,ratio,pp_id
total__llama3.1,70.5,0.6926595177123346,
hos__llama3.1,127.5,0.8485119047619049,
flights__llama3.1,106.0,0.5878431372549019,
ppp__llama3.1,70.5,0.8297348484848485,
dish__llama3.1,90.0,0.8503921568627452,
menu__llama3.1,15.0,0.47096774193548385,16.0
chi__llama3.1,45.0,0.6714565004887586,46.03225806451613
total__mistral,70.5,0.6194419547588561,
hos__mistral,127.5,0.6333333333333332,
flights__mistral,106.0,0.6274509803921569,
ppp__mistral,70.5,0.8435606060606061,
dish__mistral,90.0,0.8554901960784314,
menu__mistral,15.0,0.42161290322580647,16.0
chi__mistral,45.0,0.540615835777126,46.03225806451613
total__gemma2,70.5,0.7021436192915065,
hos__gemma2,127.5,0.9175595238095238,
flights__gemma2,106.0,0.6194117647058824,
ppp__gemma2,70.5,0.8435606060606061,
dish__gemma2,90.0,0.7758823529411766,
menu__gemma2,15.0,0.5058602150537636,16.0
chi__gemma2,45.0,0.6329912023460412,46.03225806451613
total__dirty,70.5,0.4870411865130175,
hos__dirty,127.5,0.4532738095238095,
flights__dirty,106.0,0.058627450980392154,
ppp__dirty,70.5,0.9333333333333335,
dish__dirty,90.0,0.8026470588235295,
menu__dirty,15.0,0.3782258064516129,16.0
chi__dirty,45.0,0.38123167155425214,46.03225806451613
