,index,accuracy,precision,recall,f1,pp_id
0,total__llama3.1,0.07042253521126761,0.9169014084507041,0.4906103286384976,0.603297563156718,
1,hos__llama3.1,0.0,1.0,0.42857142857142855,0.5802721088435374,
2,flights__llama3.1,0.0,0.9294117647058824,0.34117647058823536,0.47507002801120457,
3,ppp__llama3.1,0.22727272727272727,0.9242424242424242,0.6143939393939394,0.7012987012987013,
4,dish__llama3.1,0.0,0.780392156862745,0.4264705882352941,0.5060224089635854,
5,menu__llama3.1,0.16129032258064516,0.8924731182795698,0.6086021505376343,0.7002560163850488,16.0
6,chi__llama3.1,0.03225806451612903,0.9182795698924731,0.4887096774193548,0.5905017921146952,46.03225806451613
7,total__mistral,0.056338028169014086,0.8055164319248825,0.4068075117370892,0.507265817124972,
8,hos__mistral,0.0,0.9404761904761905,0.4327380952380952,0.5675170068027212,
9,flights__mistral,0.0,0.784313725490196,0.24705882352941178,0.3659663865546219,
10,ppp__mistral,0.18181818181818182,0.8772727272727271,0.6636363636363636,0.714862914862915,
11,dish__mistral,0.058823529411764705,0.7549019607843137,0.3284313725490196,0.4274509803921569,
12,menu__mistral,0.06451612903225806,0.5376344086021505,0.2806451612903226,0.352073732718894,16.0
13,chi__mistral,0.06451612903225806,0.9327956989247311,0.4564516129032257,0.5778033794162828,46.03225806451613
14,total__gemma2,0.07042253521126761,0.8942488262910797,0.5519953051643192,0.6493592870353432,
15,hos__gemma2,0.03571428571428571,0.988095238095238,0.6071428571428571,0.7384070294784583,
16,flights__gemma2,0.0,0.9411764705882353,0.31568627450980397,0.4605042016806723,
17,ppp__gemma2,0.18181818181818182,0.9204545454545454,0.6704545454545454,0.7406204906204905,
18,dish__gemma2,0.0,0.6901960784313727,0.6127450980392156,0.6220354808590103,
19,menu__gemma2,0.12903225806451613,0.8494623655913978,0.5973118279569892,0.6751152073732718,16.0
20,chi__gemma2,0.0967741935483871,0.9354838709677419,0.4919354838709678,0.6163943583298422,46.03225806451613
