,index,accuracy,precision,recall,f1
0,total__llama3.1,0.09859154929577464,0.9342723004694835,0.5295774647887324,0.6471495640509725
1,hos__llama3.1,0.0,1.0,0.4583333333333333,0.6187074829931972
2,flights__llama3.1,0.0,0.980392156862745,0.4088235294117647,0.5555088702147526
3,ppp__llama3.1,0.2727272727272727,0.9583333333333333,0.6651515151515152,0.7558802308802307
4,dish__llama3.1,0.11764705882352941,0.8676470588235294,0.5,0.5987394957983193
5,menu__llama3.1,0.1935483870967742,0.8709677419354839,0.6231182795698925,0.7011008704557092
6,chi__llama3.1,0.06451612903225806,0.9408602150537634,0.5123655913978494,0.6382488479262673
7,total__mistral,0.04929577464788732,0.7392018779342723,0.3991784037558685,0.4913480885311871
8,hos__mistral,0.0,0.9226190476190476,0.45357142857142857,0.5914115646258502
9,flights__mistral,0.0,0.6323529411764706,0.27058823529411763,0.3658263305322129
10,ppp__mistral,0.18181818181818182,0.8469696969696969,0.5863636363636363,0.6603896103896104
11,dish__mistral,0.058823529411764705,0.7598039215686274,0.4313725490196078,0.5172268907563025
12,menu__mistral,0.06451612903225806,0.48924731182795694,0.25268817204301075,0.31536098310291855
13,chi__mistral,0.03225806451612903,0.7956989247311828,0.4161290322580644,0.5095238095238096
14,total__gemma2,0.07746478873239436,0.8618544600938967,0.5530516431924882,0.6443214844623294
15,hos__gemma2,0.03571428571428571,0.9523809523809523,0.6113095238095239,0.7323129251700681
16,flights__gemma2,0.0,0.8235294117647058,0.3568627450980392,0.48001867413632116
17,ppp__gemma2,0.18181818181818182,0.8598484848484849,0.6734848484848485,0.7285353535353534
18,dish__gemma2,0.0,0.7039215686274509,0.5833333333333333,0.6038281979458451
19,menu__gemma2,0.16129032258064516,0.8172043010752688,0.5865591397849461,0.656989247311828
20,chi__gemma2,0.0967741935483871,0.9354838709677419,0.4844086021505376,0.6119047619047618
